id|user_id|title
1||бицепс гантелей сидя
2||бицепс гантелей скотт
3||бицепс гантели
4||бицепс кривой штангой
5||бицепс кроссовер
6||бицепс кроссовер нижний блок
7||бицепс кроссовер одной рукой нижний
8||бицепс кроссовер фронтально верхний блок ко лбу
9||бицепс ноги тренажер
10||бицепс обратным хватом кроссовер
11||бицепс с гантелей молот
12||бицепс сидя тренажер фронтально, руки вытянуты вперед
13||бицепс скотт
14||бицепс широким хватом кроссовер
15||бицепс штанга
16||внешняя тренажер
17||выпады
18||выпады боковые
19||выпады назад
20||гравитрон
21||грудь тренажер
22||дельта кроссовер
23||дельта тренажер
24||жим гантелей 45
25||жим гантелей лежа
26||жим гантелей сидя
27||жим лежа 45
28||жим лежа 45 2 сек
29||жим лежа 45 вниз головой
30||жим лежа 45 вниз головой тренажер
31||жим лежа 45 тренажер
32||жим лежа 45 тренажер 2сек
33||жим лежа средним хватом тренажер
34||жим лежа средним хватом тренажер 1 подставка
35||жим лежа средним хватом тренажер 2 подставка
36||жим лежа узким хватом
37||жим лежа узким хватом 1 подставка
38||жим лежа узким хватом 2 подставка
39||жим лежа узким хватом 2 сек
40||жим лежа узким хватом тренажер
41||жим лежа узким хватом тренажер 1 подставка
42||жим лежа узким хватом тренажер 2 сек
43||жим лежа широким 1 подставка
44||жим лежа широким хватом
45||жим лежа широким хватом 2 подставка
46||жим лежа широким хватом 2сек
47||жим лежа широким хватом тренажер
48||жим лежа широким хватом тренажер 1 подставка
49||жим лежа широким хватом тренажер 2 сек
50||жим ногами тренажер
51||жим сидя со стоек
52||жим сидя тренажер
53||жим стоя со стоек
54||икры
55||квадрицепс тренажер
56||кроссовер разводка в наклоне
57||мах назад кроссовер
58||наклоны сидя со штангой
59||наклоны средним хватом
60||наклоны стоя со штангой
61||наклоны через козла
62||ножницы
63||отжимания от брусьев
64||отжимания от брусьев тренажер
65||перекрестная разводка кроссовер
66||подтягивания кроссовер
67||подтягивания узким хвтом
68||подтягивания узким хвтом тренажер
69||подтягивания широким хватом
70||подтягивания широким хватом тренажер
71||подъем гантелей перед собой
72||полубицепс
73||предплечье
74||пресс
75||приводящая тренажер
76||пулловер
77||разводка 45 кроссовер
78||разводка гантелей 45
79||разводка гантелей в наклоне
80||разводка гантелей в стороны
81||разводка гантелей лежа
82||разводка лежа кроссовер
83||румынская тяга
84||сведение ног тренажер
85||сед
86||сед колодец
87||сед скамья
88||сед тренажер
89||сед узкий
90||сед узкий тренажер
91||сед фронтальный
92||сед широкий тренажер
93||сед-стоп
94||сумо 2 плинта
95||трапеция
96||трицепс гантеля
97||трицепс кроссовер
98||трицепс кроссовер лямка
99||трицепс кроссовер одной рукой
100||трицепс лямка
101||трицепс лямка кроссовер
102||трицепс лямка кроссовер верхний блок
103||трицепс одной рукой кроссовер
104||трицепс тренажер
105||тяга к подбородку
106||тяга колодец
107||тяга обратным хватом
108||тяга рывковая
109||тяга сумо
110||тяга сумо вис
111||тяга сумо подставка
112||тяга сумо с плинтов
113||тяга толчковая
114||французкий жим лежа
115||французкий жим лежа внутренний хват
116||французкий жим лежа кроссовер
117||французкий жим сидя
118||французкий жим стоя
119||хаммер
120||швунг
121||широчайшая верхний блок кроссовер
122||широчайшая гантеля
123||широчайшая кроссовер
124||широчайшая кроссовер верхний блок
125||широчайшая кроссовер одной рукой
126||широчайшая лямка кроссовер
127||широчайшая тренажер
128||широчайшая тренажер внутренний хват
129||широчайшая тяга штанги в наклоне
130||широчайшая фронтальная тренажер
131||широчайшая фронтальная тренажер одной рукой
132||широчайшая штанга